Cód. Modular;Gestión;Nombre IE;Nivel;Distrito;Director(a);Últ. Acceso
1705680;Pública de gestión directa;APIPA SECTOR XII-A;Inicial - Jardín;Cerro Colorado;LEÓN RIVAS DINA JACKELINE;2024-08-21 21:04:54
1119718;Pública de gestión directa;AREQUIPA;Primaria;Arequipa;ROQUE CARCASI ELOY VALERIANO;2024-08-21 20:06:36
0309641;Pública de gestión directa;AREQUIPA;Secundaria;Arequipa;ROQUE CARCASI ELOY VALERIANO;2024-08-21 20:06:36
1567619;Pública de gestión directa;ASOCIACION URBANIZADORA J.L BUSTAMANTE - SECTOR IV, MZ B - SUP 11;Inicial - Jardín;Cerro Colorado;MEDINA QUISPE ROSARIO DE FATIMA;2024-08-14 19:38:25
1705581;Pública de gestión directa;BOSQUES DE GHETZEMANI;Inicial - Jardín;Cerro Colorado;NOA -   JUANA JUSTINA;2024-08-21 20:23:42
0896431;Pública de gestión directa;BUENOS AIRES;Inicial - Jardín;Cayma;RODRIGUEZ GONZALEZ DIANA IRIS;2024-08-21 21:44:28
1271451;Pública de gestión directa;CAMINITOS DE JESUS;Inicial - Jardín;Yura;CARI LUQUE NORMA IRENE;2024-08-21 22:19:42
1692763;Pública de gestión directa;CAP FAP JOSE ABELARDO QUIÑONES GONZALES;Técnico Productiva;Cerro Colorado;QUIÑONES CONTRERAS DANTE MELESIO;2024-07-31 22:02:56
1647155;Pública de gestión directa;CARICIAS DE AMOR;Inicial - Jardín;Cerro Colorado;Chavez Pinto Yenny Marisol;2024-08-21 21:50:58
0218917;Pública de gestión directa;CARLOS JOSE ECHAVARRY OSACAR;Primaria;Tiabaya;HINOJOZA TALAVERA SANDRA ESTHER;2024-08-20 11:49:50
0750083;Pública de gestión directa;CARLOS JOSE ECHAVARRY OSACAR;Secundaria;Tiabaya;HINOJOZA TALAVERA SANDRA ESTHER;2024-08-20 11:49:50
0500736;Pública de gestión directa;CARLOS LA FUENTE LARRAURI;Secundaria;Huanca;SARMIENTO ROMERO CESAR AUGUSTO;2024-08-21 19:09:52
1741677;Pública de gestión directa;CARRUSEL DE NIÑOS;Inicial - Jardín;Cayma;CORNEJO MORALES YENY ANASTACIA;2024-08-21 18:36:04
0723262;Pública de gestión directa;CASIMIRO CUADROS I;Inicial - Jardín;Cayma;VALVERDE ORDOÑEZ YEMIRA CLELIA;2024-08-18 20:30:18
0896464;Pública de gestión directa;CASIMIRO CUADROS II;Inicial - Jardín;Cayma;COTACALLAPA CHIRI LOURDES VIRGINIA;2024-08-21 22:38:53
0225680;Pública de gestión directa;CAYMA;Inicial - Jardín;Cayma;CORNEJO ARREDONDO MARGOT;2024-08-21 18:05:16
0526855;Pública de gestión directa;CEBA - 40049;Básica Alternativa - Inicial e Intermedio;Cayma;Ali Huisacayna Walter Leopoldo;2024-08-14 21:14:07
0490565;Pública de gestión directa;CEBA - 40054 J.DOMINGO ZAMACOLA Y JAUREGUI;Básica Alternativa - Inicial e Intermedio;Cerro Colorado;PAREDES MANCHEGO LUIS ANÍBAL;2024-08-21 21:16:38
0589291;Pública de gestión directa;CEBA - 40054 J.DOMINGO ZAMACOLA Y JAUREGUI;Básica Alternativa - Avanzado;Cerro Colorado;PAREDES MANCHEGO LUIS ANÍBAL;2024-08-21 21:16:38
0641647;Pública de gestión directa;CEBA - 40055 ROMEO LUNA VICTORIA;Básica Alternativa - Avanzado;Cerro Colorado;HILARI CASAS HERNAN;2024-08-21 08:42:58
